week;weekday;hour;mbits
4nd_week;wednesday;15;1930
4nd_week;wednesday;16;2330,9
4nd_week;wednesday;17;418,2
4nd_week;wednesday;18;727,7
4nd_week;wednesday;19;598,7
4nd_week;wednesday;20;635,3
4nd_week;wednesday;21;745,9
4nd_week;wednesday;22;3317
4nd_week;wednesday;23;246,9
4nd_week;thursday;0;2,1
4nd_week;thursday;1;33,1
4nd_week;thursday;2;69,2
4nd_week;thursday;3;9,4
4nd_week;thursday;4;26,1
4nd_week;thursday;5;13,1
4nd_week;thursday;6;66
4nd_week;thursday;7;391,1
4nd_week;thursday;8;449,3
4nd_week;thursday;9;1285,4
4nd_week;thursday;10;875,9
4nd_week;thursday;11;896,7
4nd_week;thursday;12;737,1
4nd_week;thursday;13;132,1
4nd_week;thursday;14;58,7
4nd_week;thursday;15;831,6
4nd_week;thursday;16;2251,4
4nd_week;thursday;17;1752,3
4nd_week;thursday;18;735,2
4nd_week;thursday;19;2061,7
4nd_week;thursday;20;1077,5
4nd_week;thursday;21;486
4nd_week;thursday;22;1802,6
4nd_week;thursday;23;258,9
4nd_week;friday;0;1763,4
4nd_week;friday;1;810,4
4nd_week;friday;2;55
4nd_week;friday;3;42,9
4nd_week;friday;4;12,2
4nd_week;friday;5;99,6
4nd_week;friday;6;3,8
4nd_week;friday;7;162,1
4nd_week;friday;8;600,1
4nd_week;friday;9;1125,5
4nd_week;friday;10;2264,8
4nd_week;friday;11;821,1
4nd_week;friday;12;797,4
4nd_week;friday;13;2295,1
4nd_week;friday;14;1658,2
4nd_week;friday;15;666,1
4nd_week;friday;16;649,8
4nd_week;friday;17;1479
4nd_week;friday;18;2603,7
4nd_week;friday;19;591,2
4nd_week;friday;20;991,9
4nd_week;friday;21;558,9
4nd_week;friday;22;625,1
4nd_week;friday;23;50,2
4nd_week;saturday;0;17,3
4nd_week;saturday;1;30,6
4nd_week;saturday;2;58,8
4nd_week;saturday;3;24,1
4nd_week;saturday;4;33,8
4nd_week;saturday;5;45,6
4nd_week;saturday;6;29,9
4nd_week;saturday;7;709,9
4nd_week;saturday;8;2367,2
4nd_week;saturday;9;187,7
4nd_week;saturday;10;348,4
4nd_week;saturday;11;1733,5
4nd_week;saturday;12;984,4
4nd_week;saturday;13;564,5
4nd_week;saturday;14;581,3
4nd_week;saturday;15;1558,8
4nd_week;saturday;16;890,6
4nd_week;saturday;17;2197,7
4nd_week;saturday;18;1499,9
4nd_week;saturday;19;1244,1
4nd_week;saturday;20;1645,8
4nd_week;saturday;21;1362,4
4nd_week;saturday;22;524,8
4nd_week;saturday;23;622,2
